source,target,k,rep,f1_macro
M01,M02,12,12,0.8461538461538461
M01,M02,12,13,0.9285714285714286
M01,M02,12,14,0.7647058823529411
M01,M02,12,15,0.9655172413793104
M01,M02,12,16,0.8461538461538461
M01,M02,12,17,0.8571428571428571
M01,M02,12,18,0.8888888888888888
M01,M02,12,19,0.7894736842105263
M01,M02,13,0,0.7586206896551724
M01,M02,13,1,0.8461538461538461
M01,M02,13,2,0.8461538461538461
M01,M02,13,3,0.9285714285714286
M01,M02,13,4,0.8666666666666667
M01,M02,13,5,0.9230769230769231
M01,M02,13,6,0.7567567567567568
M01,M02,13,7,0.7407407407407407
M01,M02,13,8,0.88
M01,M02,13,9,0.8333333333333334
M01,M02,13,10,0.88
M01,M02,13,11,0.88
M01,M02,13,12,0.9230769230769231
M01,M02,13,13,0.8333333333333334
M01,M02,13,14,0.8666666666666667
M01,M02,13,15,0.9629629629629629
M01,M02,13,16,0.8571428571428571
M01,M02,13,17,0.8461538461538461
M01,M02,13,18,0.88
M01,M02,13,19,0.8666666666666667
M01,M02,14,0,0.8333333333333334
M01,M02,14,1,0.9166666666666666
M01,M02,14,2,1.0
M01,M02,14,3,0.6956521739130435
M01,M02,14,4,0.7878787878787878
M01,M02,14,5,0.782608695652174
M01,M02,14,6,0.88
M01,M02,14,7,0.7058823529411765
M01,M02,14,8,0.96
M01,M02,14,9,0.88
M01,M02,14,10,0.7222222222222222
M01,M02,14,11,0.9166666666666666
M01,M02,14,12,0.9166666666666666
M01,M02,14,13,0.88
M01,M02,14,14,0.7272727272727273
M01,M02,14,15,0.8
M01,M02,14,16,0.88
M01,M02,14,17,0.8695652173913043
M01,M02,14,18,0.8695652173913043
M01,M02,14,19,0.8148148148148148
M01,M02,15,0,0.7333333333333333
M01,M02,15,1,0.8888888888888888
M01,M02,15,2,0.8571428571428571
M01,M02,15,3,0.9565217391304348
M01,M02,15,4,0.9565217391304348
M01,M02,15,5,0.8
M01,M02,15,6,0.9090909090909091
M01,M02,15,7,0.8695652173913043
M01,M02,15,8,0.8571428571428571
M01,M02,15,9,0.9166666666666666
M01,M02,15,10,0.8181818181818182
M01,M02,15,11,0.8695652173913043
M01,M02,15,12,0.8
M01,M02,15,13,0.7857142857142857
M01,M02,15,14,1.0
M01,M02,15,15,0.8333333333333334
M01,M02,15,16,0.6666666666666666
M01,M02,15,17,0.8571428571428571
M01,M02,15,18,0.8695652173913043
M01,M02,15,19,0.9166666666666666
M01,M02,16,0,0.9523809523809523
M01,M02,16,1,0.9090909090909091
M01,M02,16,2,0.9523809523809523
M01,M02,16,3,0.7586206896551724
M01,M02,16,4,0.9090909090909091
M01,M02,16,5,0.7692307692307693
M01,M02,16,6,0.9
M01,M02,16,7,0.9565217391304348
M01,M02,16,8,0.9090909090909091
M01,M02,16,9,0.8333333333333334
M01,M02,16,10,0.6896551724137931
M01,M02,16,11,0.8695652173913043
M01,M02,16,12,0.9523809523809523
M01,M02,16,13,0.9
M01,M02,16,14,0.8421052631578947
M01,M02,16,15,0.9
M01,M02,16,16,1.0
M01,M02,16,17,0.9090909090909091
M01,M02,16,18,0.8571428571428571
M01,M02,16,19,0.8571428571428571
M01,M02,17,0,0.9090909090909091
M01,M02,17,1,0.9
M01,M02,17,2,0.9523809523809523
M01,M02,17,3,0.9473684210526315
M01,M02,17,4,0.9
M01,M02,17,5,0.8695652173913043
M01,M02,17,6,0.8888888888888888
M01,M02,17,7,0.9523809523809523
M01,M02,17,8,0.9
M01,M02,17,9,0.8181818181818182
M01,M02,17,10,1.0
M01,M02,17,11,0.8571428571428571
M01,M02,17,12,0.8421052631578947
