source,target,k,rep,f1_macro
M01,M03,2,13,0.8618982408090172
M01,M03,2,14,0.861937609389478
M01,M03,2,15,0.8618982408090172
M01,M03,2,16,0.861937609389478
M01,M03,2,17,0.8619715467662193
M01,M03,2,18,0.7976958525345622
M01,M03,2,19,0.9155065738592421
M01,M03,3,0,0.8987405541561713
M01,M03,3,1,0.8987468671679197
M01,M03,3,2,0.8987593052109182
M01,M03,3,3,0.8987405541561713
M01,M03,3,4,0.831615120274914
M01,M03,3,5,0.8315952105059868
M01,M03,3,6,0.8987244897959183
M01,M03,3,7,0.9538866930171278
M01,M03,3,8,0.8987593052109182
M01,M03,3,9,0.8987146529562982
M01,M03,3,10,0.8987405541561713
M01,M03,3,11,0.8988532110091743
M01,M03,3,12,0.8987244897959183
M01,M03,3,13,0.7477220956719818
M01,M03,3,14,0.8986842105263158
M01,M03,3,15,0.8989539748953975
M01,M03,3,16,0.8314077877620881
M01,M03,3,17,0.7474093264248705
M01,M03,3,18,0.8315952105059868
M01,M03,3,19,0.8314559866499791
M01,M03,4,0,0.9438058748403575
M01,M03,4,1,0.6640759930915371
M01,M03,4,2,0.8737405541561714
M01,M03,4,3,0.8735714285714286
M01,M03,4,4,0.8737405541561714
M01,M03,4,5,0.8737146529562982
M01,M03,4,6,0.7837887401430406
M01,M03,4,7,0.8735549132947977
M01,M03,4,8,0.9437856829161178
M01,M03,4,9,0.8735714285714286
M01,M03,4,10,0.8738399071925754
M01,M03,4,11,0.7839960726558665
M01,M03,4,12,0.9438058748403575
M01,M03,4,13,0.7834986284026166
M01,M03,4,14,0.7837687604224569
M01,M03,4,15,0.873533724340176
M01,M03,4,16,0.8737212276214834
M01,M03,4,17,0.9438009438009438
M01,M03,4,18,0.9437291368621841
M01,M03,4,19,0.8737405541561714
M01,M03,5,0,0.6980891719745224
M01,M03,5,1,0.6391534391534391
M01,M03,5,2,0.8318540433925049
M01,M03,5,3,0.832034632034632
M01,M03,5,4,0.831888246628131
